idna_subject,checker_type,destination,tested_at
adbmetrics.canal-literatura.com,AVAILABILITY,origin.list,2023-07-07 05:20:47.177582
analytics.cibcholidaysforheroes.com,AVAILABILITY,origin.list,2023-07-07 05:20:48.016825
analytics.cinemax.tv,AVAILABILITY,origin.list,2023-07-07 05:20:48.220515
metrics.pulte.com,AVAILABILITY,origin.list,2023-07-07 05:20:48.311667
analytics.cibcrepitpournosheros.com,AVAILABILITY,origin.list,2023-07-07 05:20:48.683188
analytics.eleague.com,AVAILABILITY,origin.list,2023-07-07 05:20:48.937393
smetrics.ftd.com,AVAILABILITY,origin.list,2023-07-07 05:20:49.190150
adbsmetrics.kiavirtualexperience.com,AVAILABILITY,origin.list,2023-07-07 05:20:49.570171
sanalytics.cartoonnetwork.com.tw,AVAILABILITY,origin.list,2023-07-07 05:20:49.950356
analytics.tnt.com.br,AVAILABILITY,origin.list,2023-07-07 05:20:50.221153
smetrics.bankia.es,AVAILABILITY,origin.list,2023-07-07 05:20:51.000967
