idna_subject,checker_type,destination,source,tested_at,session_id
cnhicrossvillechronicle.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.399266,c8726ef7e14f4c6391f4c0c9
cnhidailyindependent.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.404427,c8726ef7e14f4c6391f4c0c9
cnhieagletribune.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.409605,c8726ef7e14f4c6391f4c0c9
cnhienid.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.414840,c8726ef7e14f4c6391f4c0c9
cnhijohnstown.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.420042,c8726ef7e14f4c6391f4c0c9
cnhijoplinglobe.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.425227,c8726ef7e14f4c6391f4c0c9
cnhinewscourier.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.430455,c8726ef7e14f4c6391f4c0c9
cnhinewsservicedev.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.435670,c8726ef7e14f4c6391f4c0c9
cnhirecordeagle.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.440976,c8726ef7e14f4c6391f4c0c9
cnn.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.446298,c8726ef7e14f4c6391f4c0c9
cnnglobal.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.451650,c8726ef7e14f4c6391f4c0c9
cnnireport.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.456946,c8726ef7e14f4c6391f4c0c9
cnocanoecaprod.112.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-21 08:35:32.462260,c8726ef7e14f4c6391f4c0c9
